SMILES,ECFP4,I,II,III,IV,MolWt,HeavyAtomCount,NumRotatableBonds,TPSA,LabuteASA,MolLogP,MolMR,FractionCSP3,NumHDonors,NumHAcceptors,RingCount,QED,BalabanJ,BertzCT,Ipc,FormalCharge,RadicalElectrons,logS
COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4  ,0000000000000100000000000000000001000000000000000000000000000000000000000100000010000000000000000000000000000000000000000100000010000100000000000000000000000000000000000000000000000000000000010000000000100000000000001000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000100000000000010000000001000000000001001000000000000000000000000000000000001000000000010000000000000000000000000001010000011000000000000000000000001010010000000000000000010000000000100000000000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010010010000000000000100000000000000100000010001000000001000000000000000001000000000000000000001000000000000000000010000000000001000001000000010000000000000000000001000000001000000000000000101000001000000000000000000000000010000000000011000000000000000100000000000000000000010000000010000000000100010000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,0,446.91000000000037,31,8,68.74000000000001,184.64229675297287,4.2756000000000025,118.15370000000004,0.36363636363636365,1,7,4,0.517854527865434,1.5078739571774324,1046.6849035998564,13732178.246809222,0,0,-3.824784711694007
CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O  ,0000000000000100000000000000000001000000000000000000000000000000000000000000000010000011000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000010010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000010010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000100000000100000001000000000000000000000000000000000000000001000000000000000000000000010000000000010100010000000000000000000000000000000000000000000000000000101000010000000000100000000000000000000000000000000000000000000000010000000000,0,1,0,0,250.33799999999994,18,6,46.53,108.7851832308131,3.573240000000002,72.06180000000005,0.5333333333333333,1,2,1,0.7849558299886598,2.4287441586455745,421.746932506919,6869.172870440094,0,0,-3.3409436902028578
CC1(CC(=O)N(C(=O)C1)CCCCN2CCN(CC2)C3=NC=CC=N3)C  ,0000000000000000000000000000000001001000000000000000000000000000100000000010000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000100000000100000000000000000100000000000000000000000000000000000010000000000000000000000000000000000000010010000000000000000000001000000000000000000000000000010000000000000000000010000000000000000010100000001010100100000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000010000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000100000000000001000000000000000000000000001000000000000000010000001000000000000000000000000000000000000010000010000000000000000000000000000000010000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,1,0,359.47400000000005,26,6,69.64000000000001,154.93571370097828,1.5539999999999996,99.65400000000007,0.6842105263157895,0,6,3,0.5670068538462076,1.3487585722587876,606.0764676346602,701271.2789608833,0,0,-1.5275567048284673
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2  ,0000100000000000000000000000000001000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000100000100100000000100000000000100000000000000000010000010000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000100000000001000000000000100000000000000000000000000000000100000000000000000000000000100000001000000000000000000000000000010000000000001000000010000000000000000000000000100000000010010000000000000000000000000000010000000010000000000000000000000000000010000000000000000000000000000000000000000000000000000010000,1,1,0,0,323.4180000000002,22,3,78.50999999999999,130.45621189212125,1.6298200000000003,82.43620000000004,0.5333333333333333,2,4,3,0.8860379615947154,1.5799953351185274,645.1151747425323,119001.77429543255,0,0,-2.082144698106371
CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)OC)C  ,0000000000000100100001000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000011000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000001000000000000100100010000100000000000100000000000000000010000010000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000100000000000000000000000000000000000000000000000001000000100001000000000000000000000000000000000000000000000000010000000000000000001000000000000000010000000000000000100000000010000000000000000010010000000000010000100000000001000100010000000000000000000000000000000000000100100000000000000000000000000000001000000000000000000001000000000000100000001000000000000000000000000000001000100000000010000000000000000000000000000100010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,0,0,409.4640000000001,28,6,121.88000000000001,163.33371976601552,1.5521,100.97520000000004,0.3888888888888889,2,6,2,0.7351348608309923,1.881872119296913,905.7535556308923,1256765.1150010352,0,0,-2.677710918319057
CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3  ,0010100010000000000001000000000001010000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000000000000000100000100100000001100000000000100000000000000000010000010000000000000000000001000000001000000000000000000000000000000000000000010000000000000000000000010100000000000000000010000000001001000000000000000100000000100000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000000000100000000000000000010000000000000000100000000000000000000010000000010000000010000000100000000001000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000001000000000000000000001000001000000000000000100000000000100000010010000000000000000000000000000000010000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000110000,0,1,0,1,445.54500000000024,31,7,130.15,181.66973203561423,2.0781199999999993,114.97440000000005,0.42857142857142855,3,6,3,0.5981616815314104,1.4808622529805016,1001.0705398115275,7718338.411371263,0,0,-3.3514697104462887
COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3  ,0010100010000000000001000000000001000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000010000000000000000001001000000000000000100000000000001000000000000000000000000000000000000000000010000000100000100100000000100000000000100000000000000000010100010000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000010100000000000000000000000000001001000000000000000100000000010000000000000000000000000000000000000000000000001000000000000000000001000000000000000000000000000100000000000000000000100000000000000000010000000010000000100000000000000000000000000010000000000000000000100000000001000100000001000000000000000000000000000000000000000000000000000000000000000000001000000001000000000001000000000000100000001000000000000000000000000010000000100000010010000000000000000000000000000000010000000000000000000100000000000000000010100000000000000000000000000000000000000000000000000110000,0,1,0,0,494.01300000000026,33,8,113.6,198.64724753010978,3.641700000000002,126.20940000000006,0.391304347826087,3,5,3,0.51917970894521,1.513273099027308,1083.77575374057,19051838.76389809,0,0,-4.1520647398185355
 C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]  ,0100000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000100000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000010010000000000000000000100000000000000000000000000000000000001010000000000000000000000000000000000100000000000000001000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,1,0,227.08499999999995,15,8,157.11,80.63081361107673,-1.0200999999999996,37.76020000000002,1.0,0,9,0,0.373165924670519,3.9922055468289943,234.98712426015686,1181.1146166851313,0,0,-0.35355961137012876
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O.OS(=O)(=O)O  ,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000010000000000100000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000000000000000001000000000000000100000000000000000100000000000000100000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001100000000000100000000000000000010000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000,0,0,1,0,456.4230000000001,29,2,306.94,164.6462297950942,-7.162799999999993,90.0866,1.0,12,14,2,0.17159149717582659,4.4196077774216787e-07,515.2907196602029,630559.0664747781,0,0,0.628087233332011
C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC  ,0000010000000000100000000000000001001000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000100000000000000000000000000000000000000000000000000000000000000000010000000001000000000010000001000000001000000000001010000000000001000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000010010000000000000000010000000000000000010000000000000000010000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000001100000001000010000000000000000000010000000000000000000000000000000000000000000000000010000000000000000000100000001000000000000000000100000000000000000000000000001100010001000000010000,0,1,0,1,352.77000000000004,24,3,71.06000000000002,143.82499238361365,2.8103000000000007,86.12550000000005,0.4117647058823529,0,6,3,0.8326610784751867,2.2581731710520927,768.8345393102228,270347.3695674076,0,0,-2.920138579908059
